colour,layout,profile,place,backlight,switch,using,top3_1,top3_2,top3_3,dream_kb
green,65%,non low-profile,-99,no,"linear - black - fast, quite, heavy",-99,keycult,vega,rama,ai03 vega
blue,"super compact, 60%",non low-profile,-99,no,"linear - black - fast, quite, heavy",-99,ducky,custom,razer,custom
blue,"tkl, 87%-88% (87-88 key)",non low-profile,-99,yes,"linear - black - fast, quite, heavy",-99,cyberboard,gk,razer,cyberboard
yellow,"super compact, 60%",non low-profile,-99,no,"linear - black - fast, quite, heavy",-99,cyberboard,gk,rk,cyberboard
orange,"super compact, 60%",non low-profile,everywhere,no,"linear - black - fast, quite, heavy",ducky,discipline,ibmmodelm,tofu,cyberboard
blue,65%,non low-profile,-99,yes,"linear - black - fast, quite, heavy",-99,logitech,corsair,gk,gk68xs with cream switch
black,"super compact, 60%",low profile (slim),home,yes,"linear - black - fast, quite, heavy",gk,gk,anne,-99,gk73
red,"tkl, 87%-88% (87-88 key)",non low-profile,-99,no,"linear - red - fast, quite, light",-99,hyperx,razer,reddragon,hyperx
blue,"super compact, 60%",non low-profile,office,no,"linear - black - fast, quite, heavy",gk,hubble,fuji,constellation,iron165 fe
blue,"compact, 75%",non low-profile,-99,yes,clicky - blue,-99,kbd,-99,-99,kbd75
black,"tkl, 87%-88% (87-88 key)",non low-profile,-99,no,tactile,-99,topre,keycult,tgr,keycult no. 1 rev. 2 tkl
green,65%,non low-profile,-99,maybe,tactile,-99,melody,vega,keycult,keycult no2/65
blue,"tkl, 87%-88% (87-88 key)",non low-profile,home,no,tactile,logitech,ducky,ibmmodelm,hhkb,keycult no2/65
black,"compact, 75%",non low-profile,-99,no,tactile,-99,leopold,kbdfan,tofu,keycult no. 1 rev. 2 tkl
grey,65%,non low-profile,home,yes,"linear - black - fast, quite, heavy",tofu,tofu,tofu,rama,keycult no2/65
white,"super compact, 60%",non low-profile,-99,yes,"linear - red - fast, quite, light",-99,-99,gk,leopold,keycult no2/65
green,"full size, 100% (more than 104 key)",non low-profile,-99,maybe,"linear - black - fast, quite, heavy",-99,logitech,logitech,logitech,logitech g915
blue,"super compact, 60%",low profile (slim),-99,no,"linear - red - fast, quite, light",-99,logitech,targus,fantech,logitech wireless k400 plus
black,"compact, 75%",low profile (slim),-99,no,tactile,-99,logitech,logitech,apple,logitech wireless k400 plus
black,"super compact, 60%",non low-profile,-99,yes,"linear - red - fast, quite, light",-99,tofu,nk,gk,nk65v2
blue,"tkl, 87%-88% (87-88 key)",non low-profile,office,no,tactile,norbatouch,leopold,ducky,norbatouch,norbaforce
black,"full size, 100% (more than 104 key)",non low-profile,-99,no,"linear - black - fast, quite, heavy",-99,tgr,singa,otd,otd 356cl
black,"super compact, 60%",non low-profile,-99,no,"linear - red - fast, quite, light",-99,rama,hhkb,keycult,rama m60
white,"tkl, 87%-88% (87-88 key)",non low-profile,-99,yes,tactile,-99,ramat,hhkb,realforce,rama u80-a
black,"super compact, 60%",non low-profile,-99,no,"linear - black - fast, quite, heavy",-99,ramat,leopold,tofu,rama u80-a
yellow,"super compact, 60%",non low-profile,home,yes,tactile,tofu,topre,vortex,custom,rama60
green,"full size, 100% (more than 104 key)",low profile (slim),-99,yes,"linear - red - fast, quite, light",-99,razer,-99,-99,razer blackwidow v3 pro wireless mechanical gaming keyboard - black
blue,"compact, 75%",non low-profile,-99,yes,"linear - red - fast, quite, light",-99,razer,logitech,asus,razer hutsman mini
green,"full size, 100% (more than 104 key)",non low-profile,e-sport,yes,optical switch,razer,razer,-99,-99,razer hutsman mini
red,"compact, 75%",low profile (slim),-99,yes,-99,-99,rog,rogtkl,rog,rog strix flare pnk ltd
blue,"tkl, 87%-88% (87-88 key)",non low-profile,home,yes,"linear - black - fast, quite, heavy",phantomtecware,steelseries,phantomtecware,ducky,satisfaction 75
black,"tkl, 87%-88% (87-88 key)",non low-profile,home,no,clicky - blue,hhkb,hhkb,keeblade,tofu,satisfaction 75
pink,"tkl, 87%-88% (87-88 key)",non low-profile,everywhere,yes,"linear - black - fast, quite, heavy",phantomtecware,phantomtecware,wormier,gk,singa v3
cyan,"compact, 75%",non low-profile,-99,yes,tactile,-99,anne,phantomtecware,coolermastert,steelseries apex pro tkl
red,"full size, 100% (more than 104 key)",non low-profile,-99,yes,"linear - red - fast, quite, light",-99,logitech,phantomtecware,gskill,tecware phantom elite with gateron yellows
blue,65%,non low-profile,home,yes,clicky - blue,kemove,kemove,ducky,filco,tex shinobi
blue,"compact, 75%",non low-profile,-99,no,"linear - red - fast, quite, light",-99,tofu,arisu,singa,tgr x singa
black,"super compact, 60%",non low-profile,e-sport,yes,tactile,gk,ducky,hhkb,dz,tofu60
non,"compact, 75%",non low-profile,-99,no,clicky - blue,-99,topre,ducky,filco,topre ivory 55g tkl
purple,"compact, 75%",low profile (slim),-99,yes,"linear - red - fast, quite, light",-99,keychron,vortexgear,ducky,vortexgear race 3
