colour,layout,profile,backlight,switch,top3_1,top3_2,top3_3,What is your dream keyboard. (exact model),place,using
gradient,"compact, 75%",low profile (slim),yes,,rog strix flare pnk ltd,rog strix scope tkl electro punk,rog strix flare,logitech k380 multi-device bluetooth keyboard,,
red,"tkl, 87%-88% (87-88 key)",non low-profile,no,"linear - red - fast, quite, light",hyperx, razer,reddragon,hyperx,,
black,"compact, 75%",low profile (slim),no,tactile,logitech wireless k400 plus,logitech k360,apple magic keyboard,logitech wireless k400 plus,,
green,"full size, 100% (more than 104 key)",non low-profile,maybe,"linear - black - fast, quite, heavy",logitech g pro x,logitech g915,logitech mx keys,das keyboard prime 13,,
blue,"super compact, 60%",low profile (slim),no,"linear - red - fast, quite, light",logitech,targus,fantech,logitech k400,,
red,"super compact, 60%",non low-profile,yes,"linear - black - fast, quite, heavy",,,,rog,,
green,"full size, 100% (more than 104 key)",low profile (slim),yes,"linear - red - fast, quite, light",razer,,,razer blackwidow v3 pro wireless mechanical gaming keyboard - black,,
green,split columnar staggered ,non low-profile,maybe,tactile,custom,,,7v,,
non,"compact, 75%",non low-profile,no,clicky - blue,topre real force,ducky,filco,topre ivory 55g tkl,,
white,"tkl, 87%-88% (87-88 key)",non low-profile,yes,tactile,rama u80-a,hhkb type s,realforce 87u,rama u80-a,,
black,"super compact, 60%",non low-profile,no,"linear - black - fast, quite, heavy",rama u80-a,leopold fc660c,tofu 65,rama u80-a,,
blue,"super compact, 60%",non low-profile,no,"linear - black - fast, quite, heavy",ducky one 2 mini,custom,razer huntsman,custom,,
blue,"compact, 75%",non low-profile,yes,"linear - red - fast, quite, light",razer,logitech,asus,razer,,
black,"compact, 75%",non low-profile,no,tactile,leopold fc989m,kbdfan bella,tofu,keycult no.2,,
black,"full size, 100% (more than 104 key)",non low-profile,no,"linear - black - fast, quite, heavy",tgr,singa,otd,otd 356cl,,
black,"super compact, 60%",non low-profile,no,"linear - red - fast, quite, light",rama m60,hhkb,keycult,"rama m60, alpaca, brass plate, gmk ",,
red,"full size, 100% (more than 104 key)",non low-profile,yes,"linear - red - fast, quite, light",logitech g513,tecware phantom elite,gskill km360,tecware phantom elite with gateron yellows,,
green,65%,non low-profile,maybe,tactile,melody96,vega,keycult no. 1/65 rev. 1,keycult no. 1/65 rev. 1,,
red,"compact, 75%",non low-profile,maybe,"linear - red - fast, quite, light",kbd75,think 6.5 v2,nk65,satisfaction 75,,
black,"tkl, 87%-88% (87-88 key)",non low-profile,yes,"linear - red - fast, quite, light","tecware phantom elite tkl
",gk61x,gk64xs ,steelseries apex pro tkl,,
blue,"compact, 75%",non low-profile,maybe,tactile,keychron k2,gk61,rk61,kyuu,,
red,"tkl, 87%-88% (87-88 key)",non low-profile,maybe,"linear - red - fast, quite, light",iron165,andromeda,think65 v2,andromeda,,
blue,"tkl, 87%-88% (87-88 key)",non low-profile,yes,"linear - black - fast, quite, heavy",cyberboard,gk61,huntsman mini,cyberboard,,
red,65%,non low-profile,maybe,"linear - black - fast, quite, heavy",custom,,,"g2 pengu with zealios 67g or c3 tangarines, screw mount stabs",,
