colour,layout,profile,backlight,switch,top3_1,top3_2,top3_3,dream_kb
3,3,1,2,1,7,21,10,7
1,0,1,2,1,2,13,5,8
1,2,1,1,1,14,4,5,1
11,0,1,2,1,14,4,46,1
6,0,1,2,1,28,16,3,1
1,3,1,1,1,0,27,4,9
0,0,0,1,1,4,12,99,10
9,2,1,2,2,34,5,45,11
1,0,1,2,1,33,31,25,12
1,1,1,1,0,35,99,99,13
0,2,1,2,4,11,7,20,2
3,3,1,3,4,40,21,7,0
1,2,1,2,4,2,16,6,0
0,1,1,2,4,8,36,3,2
4,3,1,1,1,3,3,10,0
10,0,1,1,2,99,4,8,0
3,4,1,3,1,0,0,0,14
1,0,0,2,2,0,49,30,3
0,1,0,2,4,0,0,22,3
0,0,1,1,2,3,41,4,15
1,2,1,2,4,8,2,42,16
0,4,1,2,1,20,19,43,17
0,0,1,2,2,10,6,7,18
10,2,1,1,4,17,6,44,4
0,0,1,2,1,17,8,3,4
11,0,1,1,4,11,50,13,19
3,4,0,1,2,5,99,99,20
1,1,1,1,2,5,0,24,5
3,4,1,1,3,5,99,99,5
9,1,0,1,99,18,47,18,21
1,2,1,1,1,48,9,2,6
0,2,1,2,0,6,37,3,6
7,2,1,1,1,9,52,4,22
2,1,1,1,4,12,9,26,23
9,4,1,1,2,0,9,32,24
1,3,1,1,0,38,2,15,25
1,1,1,2,2,3,23,19,26
0,0,1,1,4,2,6,29,27
5,1,1,2,0,11,2,15,28
8,1,0,1,2,39,51,2,29
