colour,layout,profile,backlight,switch,top3_1,top3_2,top3_3,dream_kb
green,sixtyfive,no,no,black,keycult,vega,rama,7
blue,supercompact,no,no,black,ducky,custom,razer,8
blue,tkl,no,yes,black,cyberboard,gk,razer,1
yellow,supercompact,no,no,black,cyberboard,gk,rk,1
orange,supercompact,no,no,black,discipline,ibmmodelm,tofu,1
blue,sixtyfive,no,yes,black,logitech,corsair,gk,9
black,supercompact,yes,yes,black,gk,anne,NaN,10
red,tkl,no,no,red,hyperx,razer,reddragon,11
blue,supercompact,no,no,black,hubble,fuji,constellation,12
blue,compact,no,yes,blue,kbd,NaN,NaN,13
black,tkl,no,no,tactile,topre,keycult,tgr,2
green,sixtyfive,no,yes,tactile,melody,vega,keycult,0
blue,tkl,no,no,tactile,ducky,ibmmodelm,hhkb,0
black,compact,no,no,tactile,leopold,kbdfan,tofu,2
grey,sixtyfive,no,yes,black,tofu,tofu,rama,0
white,supercompact,no,yes,red,NaN,gk,leopold,0
green,full,no,yes,black,logitech,logitech,logitech,14
blue,supercompact,yes,no,red,logitech,targus,fantech,3
black,compact,yes,no,tactile,logitech,logitech,apple,3
black,supercompact,no,yes,red,tofu,nk,gk,15
blue,tkl,no,no,tactile,leopold,ducky,norbatouch,16
black,full,no,no,black,tgr,singa,otd,17
black,supercompact,no,no,red,rama,hhkb,keycult,18
white,tkl,no,yes,tactile,ramat,hhkb,realforce,4
black,supercompact,no,no,black,ramat,leopold,tofu,4
yellow,supercompact,no,yes,tactile,topre,vortex,custom,19
green,full,yes,yes,red,razer,NaN,NaN,20
blue,compact,no,yes,red,razer,logitech,asus,5
green,full,no,yes,optical switch,razer,NaN,NaN,5
red,compact,yes,yes,NaN,rog,rogtkl,rog,21
blue,tkl,no,yes,black,steelseries,phantomtecware,ducky,6
black,tkl,no,no,blue,hhkb,keeblade,tofu,6
pink,tkl,no,yes,black,phantomtecware,wormier,gk,22
cyan,compact,no,yes,tactile,anne,phantomtecware,coolermastert,23
red,full,no,yes,red,logitech,phantomtecware,gskill,24
blue,sixtyfive,no,yes,blue,kemove,ducky,filco,25
blue,compact,no,no,red,tofu,arisu,singa,26
black,supercompact,no,yes,tactile,ducky,hhkb,dz,27
NaN,compact,no,no,blue,topre,ducky,filco,28
purple,compact,yes,yes,red,keychron,vortexgear,ducky,29
